id,brand,title,price,mrp,discount,category,occasion,material
"1","H&M","H&M Abstract Print Cotton Top for Women","7050","7900","11","Top","wedding","cotton"
"2","Zara","Zara Printed Silk Casual Top for Women","3900","4400","11","Top","wedding","silk"
"3","Mango","Mango Embroidered Linen Kurti for Women","8200","9450","13","Top","wedding","linen"
"4","Uniqlo","Uniqlo Polka Dot Denim Blouse for Women","1450","1550","7","Top","wedding","denim"
"5","ONLY","ONLY Striped Chiffon Shirt for Women","1650","1750","5","Top","wedding","chiffon"
"6","BIBA","BIBA Velvet Cold Shoulder Top for Women","3200","3550","10","Top","wedding","velvet"
"7","W for Woman","W for Woman Georgette Wrap Top with Tie-Up for Women","4250","4850","12","Top","wedding","georgette"
"8","FabIndia","FabIndia Knit V-Neck Fitted Top for Women","4150","4850","14","Top","wedding","knit"
"9","Gucci","Gucci Rayon Cold Shoulder Top for Women","272350","309500","12","Top","wedding","rayon"
"10","Louis Vuitton","Louis Vuitton Satin Smocked Top for Women","372500","423300","12","Top","wedding","satin"
"11","Forever 21","Forever 21 Sheer Polyester Overlay Top for Women","2800","3100","10","Top","wedding","polyester"
"12","H&M","H&M Floral Viscose Midi Skirt for Women","1950","2050","5","Bottom","wedding","viscose"
"13","Zara","Zara Cotton Pencil Skirt for Women","13000","14600","11","Bottom","wedding","cotton"
"14","Mango","Mango Silk Wide-Leg Trousers for Women","13250","15400","14","Bottom","wedding","silk"
"15","Uniqlo","Uniqlo Striped Linen Shorts for Women","7250","8250","12","Bottom","wedding","linen"
"16","ONLY","ONLY Striped Denim Shorts for Women","1250","1450","13","Bottom","wedding","denim"
"17","BIBA","BIBA Printed Chiffon Leggings for Women","6950","8000","13","Bottom","wedding","chiffon"
"18","W for Woman","W for Woman Velvet Track Pants for Women","3800","4400","14","Bottom","wedding","velvet"
"19","FabIndia","FabIndia Georgette Jogger Pants for Women","4700","5000","6","Bottom","wedding","georgette"
"20","Gucci","Gucci Knit Palazzo Pants for Women","90000","97850","8","Bottom","wedding","knit"
"21","Louis Vuitton","Louis Vuitton Pleated Rayon A-Line Skirt for Women","243050","267100","9","Bottom","wedding","rayon"
"22","Forever 21","Forever 21 Floral Satin Midi Skirt for Women","1400","1550","9","Bottom","wedding","satin"
"23","H&M","H&M Polyester Asymmetric Hem Dress for Women","1550","1750","11","Dress","wedding","polyester"
"24","Zara","Zara Viscose Shirt Dress for Women","6500","7050","8","Dress","wedding","viscose"
"25","Mango","Mango Embroidered Cotton Anarkali for Women","15150","16100","6","Dress","wedding","cotton"
"26","Uniqlo","Uniqlo Embroidered Silk Anarkali for Women","2350","2750","15","Dress","wedding","silk"
"27","ONLY","ONLY Ruched Linen Evening Dress for Women","5950","6450","8","Dress","wedding","linen"
"28","BIBA","BIBA Tiered Denim Boho Dress for Women","5000","5600","11","Dress","wedding","denim"
"29","W for Woman","W for Woman Balloon Sleeve Chiffon Dress for Women","3500","4000","12","Dress","wedding","chiffon"
"30","FabIndia","FabIndia Printed Velvet Shift Dress for Women","12000","13500","11","Dress","wedding","velvet"
"31","Gucci","Gucci Floral Georgette Maxi Dress for Women","338500","376100","10","Dress","wedding","georgette"
"32","Louis Vuitton","Louis Vuitton Knit Slip Dress for Women","114350","122950","7","Dress","wedding","knit"
"33","Forever 21","Forever 21 Rayon Pleated Sundress for Women","1100","1250","11","Dress","wedding","rayon"
"34","H&M","H&M Embroidered Satin Ethnic Set for Women","6700","7700","13","Ethnic Set","wedding","satin"
"35","Zara","Zara Polyester Bridal Lehenga Set for Women","14000","14750","5","Ethnic Set","wedding","polyester"
"36","Mango","Mango Viscose Straight Kurta with Dupatta for Women","12750","13700","7","Ethnic Set","wedding","viscose"
"37","Uniqlo","Uniqlo Cotton Sharara Set for Women","1200","1400","14","Ethnic Set","wedding","cotton"
"38","ONLY","ONLY Silk Gown Style Kurta for Women","4450","5250","15","Ethnic Set","wedding","silk"
"39","BIBA","BIBA Linen Saree with Blouse for Women","3000","3450","13","Ethnic Set","wedding","linen"
"40","W for Woman","W for Woman Denim Festival Outfit Set for Women","2300","2500","8","Ethnic Set","wedding","denim"
"41","FabIndia","FabIndia Embroidered Chiffon Ethnic Set for Women","13800","16250","15","Ethnic Set","wedding","chiffon"
"42","Gucci","Gucci Velvet Gown Style Kurta for Women","498700","586700","15","Ethnic Set","wedding","velvet"
"43","Louis Vuitton","Louis Vuitton Georgette Saree with Blouse for Women","291700","324100","10","Ethnic Set","wedding","georgette"
"44","Forever 21","Forever 21 Knit Gown Style Kurta for Women","2500","2850","13","Ethnic Set","wedding","knit"
"45","H&M","H&M Rayon Bomber Jacket for Women","2900","3050","5","Outerwear","wedding","rayon"
"46","Zara","Zara Satin Double-Breasted Coat for Women","11650","13400","13","Outerwear","wedding","satin"
"47","Mango","Mango Polyester Shrug for Women","10400","11550","10","Outerwear","wedding","polyester"
"48","Uniqlo","Uniqlo Viscose Puffer Jacket for Women","1000","1100","10","Outerwear","wedding","viscose"
"49","ONLY","ONLY Cropped Cotton Jacket for Women","4650","4900","5","Outerwear","wedding","cotton"
"50","BIBA","BIBA Silk Bomber Jacket for Women","9050","9650","6","Outerwear","wedding","silk"
"51","W for Woman","W for Woman Linen Blazer for Women","3750","4200","11","Outerwear","wedding","linen"
"52","FabIndia","FabIndia Denim Overcoat for Women","13500","14350","6","Outerwear","wedding","denim"
"53","Gucci","Gucci Chiffon Puffer Jacket for Women","193650","210500","8","Outerwear","wedding","chiffon"
"54","Louis Vuitton","Louis Vuitton Velvet Cape Jacket for Women","867100","1020100","15","Outerwear","wedding","velvet"
