id,brand,title,price,mrp,discount,category,occasion,fabric,colour,sizes,season,style,age,rating,reviewCount
"1","H&M","H&M Abstract Print Cotton Top for Women","7050","7900","11","Top","wedding","cotton","Black | Blush | White","L | Plus Size | S | XXL | XL | Petite","spring","minimalist","teen","3.3","5091"
"2","Zara","Zara Printed Silk Casual Top for Women","3900","4400","11","Top","wedding","silk","Red | Yellow | Olive | Mustard","S | XXL | L | XS | M | Petite","summer","boho","young-adult","4.8","1586"
"3","Mango","Mango Embroidered Linen Kurti for Women","8200","9450","13","Top","wedding","linen","Navy | Olive | Peach | White","XL | M | XS | S","monsoon","streetwear","adult","4.3","12797"
"4","Uniqlo","Uniqlo Polka Dot Denim Blouse for Women","1450","1550","7","Top","wedding","denim","Beige | Green | Red","Plus Size | XXL | L | XS | Petite | S | M","autumn","classic","mid-adult","3.5","8587"
"5","ONLY","ONLY Striped Chiffon Shirt for Women","1650","1750","5","Top","wedding","chiffon","Blue | Teal | Peach | Lavender","Plus Size | XXL | S | XS","winter","romantic","mature","3.8","14522"
"6","BIBA","BIBA Velvet Cold Shoulder Top for Women","3200","3550","10","Top","wedding","velvet","Olive | Coral","Plus Size | XS | S | Petite | XL | M | L","all seasons","edgy","senior","4","2532"
"7","W for Woman","W for Woman Georgette Wrap Top with Tie-Up for Women","4250","4850","12","Top","wedding","georgette","Burgundy | Blue","XL | XXL | Plus Size | L | M | S","spring","preppy","teen","4.2","13186"
"8","FabIndia","FabIndia Knit V-Neck Fitted Top for Women","4150","4850","14","Top","wedding","knit","Olive | Coral | Peach | Green | Navy","Petite | M | Plus Size | L","summer","cottagecore","young-adult","4.2","13059"
"9","Gucci","Gucci Rayon Cold Shoulder Top for Women","272350","309500","12","Top","wedding","rayon","Red | Peach","Petite | Plus Size | XXL | XS | S","monsoon","k-fashion","adult","3.8","1770"
"10","Louis Vuitton","Louis Vuitton Satin Smocked Top for Women","372500","423300","12","Top","wedding","satin","Green | Burgundy | Blush | Olive","XXL | S | L | Plus Size | XL | M | Petite","autumn","ethnic","mid-adult","3.6","1699"
"11","Forever 21","Forever 21 Sheer Polyester Overlay Top for Women","2800","3100","10","Top","wedding","polyester","Blue | Red | Mint","S | Petite | Plus Size | XL | XS","winter","minimalist","mature","4.8","12868"
"12","H&M","H&M Floral Viscose Midi Skirt for Women","1950","2050","5","Bottom","wedding","viscose","Yellow | Coral | Black | Mustard","S | XS | L | M","all seasons","boho","senior","4.5","12055"
"13","Zara","Zara Cotton Pencil Skirt for Women","13000","14600","11","Bottom","wedding","cotton","Yellow | Pink | Coral","XL | XXL | L | M | S","spring","streetwear","teen","4.1","12902"
"14","Mango","Mango Silk Wide-Leg Trousers for Women","13250","15400","14","Bottom","wedding","silk","Yellow | Burgundy | Blush","L | S | XL | XXL | M","summer","classic","young-adult","3.6","11528"
"15","Uniqlo","Uniqlo Striped Linen Shorts for Women","7250","8250","12","Bottom","wedding","linen","Green | Blue | Teal","XXL | XL | L | M | S","monsoon","romantic","adult","4.7","6255"
"16","ONLY","ONLY Striped Denim Shorts for Women","1250","1450","13","Bottom","wedding","denim","Green | Beige","XS | XXL | S | L | M | XL","autumn","edgy","mid-adult","4.8","958"
"17","BIBA","BIBA Printed Chiffon Leggings for Women","6950","8000","13","Bottom","wedding","chiffon","Navy | Black | Lavender | Burgundy | Ivory","32 | 30 | 28 | 26 | 24 | 36 | 34","winter","preppy","mature","4","1939"
"18","W for Woman","W for Woman Velvet Track Pants for Women","3800","4400","14","Bottom","wedding","velvet","Yellow | Coral | White | Peach","30 | 24 | 32 | 26 | 34 | 28 | 36","all seasons","cottagecore","senior","3.3","656"
"19","FabIndia","FabIndia Georgette Jogger Pants for Women","4700","5000","6","Bottom","wedding","georgette","Blue | Red | Coral | Mustard | White","L | M | XXL | XL | S | XS","spring","k-fashion","teen","3.3","11762"
"20","Gucci","Gucci Knit Palazzo Pants for Women","90000","97850","8","Bottom","wedding","knit","Navy | Ivory | Cobalt | Black | White","24 | 34 | 36 | 26","summer","ethnic","young-adult","4.5","3539"
"21","Louis Vuitton","Louis Vuitton Pleated Rayon A-Line Skirt for Women","243050","267100","9","Bottom","wedding","rayon","Pink | Lavender | Peach | Blue","28 | 30 | 26 | 32","monsoon","minimalist","adult","4.9","13668"
"22","Forever 21","Forever 21 Floral Satin Midi Skirt for Women","1400","1550","9","Bottom","wedding","satin","Red | Beige","L | S | XXL | XS | M | XL","autumn","boho","mid-adult","3.2","5308"
"23","H&M","H&M Polyester Asymmetric Hem Dress for Women","1550","1750","11","Dress","wedding","polyester","Blush | Teal | Blue","XS | XL | XXL | S","winter","streetwear","mature","5","3216"
"24","Zara","Zara Viscose Shirt Dress for Women","6500","7050","8","Dress","wedding","viscose","Cobalt | Mustard","S | M | XL | XS | XXL | L","all seasons","classic","senior","4.4","11110"
"25","Mango","Mango Embroidered Cotton Anarkali for Women","15150","16100","6","Dress","wedding","cotton","White | Black","XL | XS | S | XXL | M","spring","romantic","teen","4.2","5579"
"26","Uniqlo","Uniqlo Embroidered Silk Anarkali for Women","2350","2750","15","Dress","wedding","silk","Blue | Mustard | Navy","XXL | XL | L | M","summer","edgy","young-adult","5","8337"
"27","ONLY","ONLY Ruched Linen Evening Dress for Women","5950","6450","8","Dress","wedding","linen","Burgundy | Blush | Peach","XL | XXL | L | S | XS","monsoon","preppy","adult","4.5","2735"
"28","BIBA","BIBA Tiered Denim Boho Dress for Women","5000","5600","11","Dress","wedding","denim","Green | Mint","L | M | S | XS | XXL | XL","autumn","cottagecore","mid-adult","3.9","4095"
"29","W for Woman","W for Woman Balloon Sleeve Chiffon Dress for Women","3500","4000","12","Dress","wedding","chiffon","Navy | White | Blush | Mint | Mustard","XS | S | M | L","winter","k-fashion","mature","3.9","9396"
"30","FabIndia","FabIndia Printed Velvet Shift Dress for Women","12000","13500","11","Dress","wedding","velvet","Black | Olive","XL | S | XS | XXL","all seasons","ethnic","senior","4.4","697"
"31","Gucci","Gucci Floral Georgette Maxi Dress for Women","338500","376100","10","Dress","wedding","georgette","Mustard | Black | Lavender | Mint | Yellow","XS | S | M | L | XL","spring","minimalist","teen","3.9","7055"
"32","Louis Vuitton","Louis Vuitton Knit Slip Dress for Women","114350","122950","7","Dress","wedding","knit","Mustard | Cobalt | Pink","XXL | M | L | XS | XL","summer","boho","young-adult","3.6","2186"
"33","Forever 21","Forever 21 Rayon Pleated Sundress for Women","1100","1250","11","Dress","wedding","rayon","Yellow | Beige","XL | XS | S | XXL | L","monsoon","streetwear","adult","3.7","10705"
"34","H&M","H&M Embroidered Satin Ethnic Set for Women","6700","7700","13","Ethnic Set","wedding","satin","Black | Coral","XS | S | XXL | XL | L | M","autumn","classic","mid-adult","4.2","9454"
"35","Zara","Zara Polyester Bridal Lehenga Set for Women","14000","14750","5","Ethnic Set","wedding","polyester","Yellow | Red | Lavender | Green","XS | S | M | L | XL","winter","romantic","mature","4.9","12066"
"36","Mango","Mango Viscose Straight Kurta with Dupatta for Women","12750","13700","7","Ethnic Set","wedding","viscose","Peach | Burgundy | White | Mustard | Blue","XXL | XL | XS | S","all seasons","edgy","senior","3.6","8006"
"37","Uniqlo","Uniqlo Cotton Sharara Set for Women","1200","1400","14","Ethnic Set","wedding","cotton","Teal | Red | Ivory | Peach | Mint","M | L | S | XL | XXL | XS","spring","preppy","teen","3.8","10341"
